                                                             cve-2010-5278, cve-2015-9481, cve-2015-9482, cve-2017-1002201, cve-2018-1000877, cve-2018-1000878, cve-2018-1000879, cve-2018-1000880, cve-2018-1002204, cve-2018-19052, cve-2018-20685, cve-2018-5732, cve-2019-0065, cve-2019-0071, cve-2019-10923, cve-2019-10936, cve-2019-13411, cve-2019-13412, cve-2019-13929, cve-2019-14657, cve-2019-14810, cve-2019-15064, cve-2019-15065, cve-2019-15066, cve-2019-16925, cve-2019-16926, cve-2019-17115, cve-2019-17264, cve-2019-17449, cve-2019-17501, cve-2019-17507, cve-2019-17526, cve-2019-17543, cve-2019-17544, cve-2019-17629, cve-2019-17630, cve-2019-17664, cve-2019-18216, cve-2019-2934, cve-2019-2936, cve-2019-2937, cve-2019-2961, cve-2019-2965, cve-2019-8064, cve-2019-8160, cve-2019-8161, cve-2019-8162, cve-2019-8163, cve-2019-8164, cve-2019-8165, cve-2019-8166, cve-2019-8167, cve-2019-8168, cve-2019-8169, cve-2019-8170, cve-2019-8171, cve-2019-8172, cve-2019-8173, cve-2019-8174, cve-2019-8175, cve-2019-8176, cve-2019-8177, cve-2019-8178, cve-2019-8179, cve-2019-8180, cve-2019-8181, cve-2019-8182, cve-2019-8183, cve-2019-8184, cve-2019-8185, cve-2019-8186, cve-2019-8187, cve-2019-8188, cve-2019-8189, cve-2019-8190, cve-2019-8191, cve-2019-8192, cve-2019-8193, cve-2019-8194, cve-2019-8195, cve-2019-8196, cve-2019-8197, cve-2019-8198, cve-2019-8199, cve-2019-8200, cve-2019-8201, cve-2019-8202, cve-2019-8203, cve-2019-8204, cve-2019-8205, cve-2019-8206, cve-2019-8207, cve-2019-8208, cve-2019-8209, cve-2019-8210, cve-2019-8211, cve-2019-8212, cve-2019-8213, cve-2019-8214, cve-2019-8215, cve-2019-8216, cve-2019-8217, cve-2019-8218, cve-2019-8219, cve-2019-8220, cve-2019-8221, cve-2019-8222, cve-2019-8223, cve-2019-8224, cve-2019-8225, cve-2019-8226, cve-2019-8369, cve-2019-8370
0                                                            cve-2018-1000877, cve-2019-17533
0.0.6                                                        cve-2019-17521
0.1.0                                                        cve-2019-18214
0.1.8                                                        cve-2019-17502
0.10.0                                                       cve-2019-17134
0.10.0.0                                                     cve-2017-12610
0.10.2.1                                                     cve-2017-12610
0.11.0.0                                                     cve-2017-12610
0.11.0.1                                                     cve-2017-12610
0.11.10                                                      cve-2019-17424
0.13.6                                                       cve-2017-14506
0.13.7                                                       cve-2017-14683
0.15                                                         cve-2019-17631
0.16                                                         cve-2019-17631
0.19.5                                                       cve-2019-10757
0.27.2                                                       cve-2019-17402
0.3                                                          cve-2017-14232
0.4.9                                                        cve-2018-1002204
0.42.1                                                       cve-2019-12967
0.5.31                                                       cve-2019-17420
0.6.9                                                        cve-2019-17625
0.60.8                                                       cve-2019-17544
0.7                                                          cve-2015-9464
0.7.0                                                        cve-2019-10445
0.7.1                                                        cve-2019-17395
0.7.3                                                        cve-2015-1828
0.8.0                                                        cve-2019-17490, cve-2019-17537, cve-2019-17538
0.8.11                                                       cve-2019-11284
0.9                                                          cve-2019-10436, cve-2019-10460, cve-2019-17400
0.9.1                                                        cve-2015-9465
0.9.10b                                                      cve-2015-9472
0.9.3                                                        cve-2019-16925, cve-2019-16926
0.90                                                         cve-2013-7333, cve-2014-2304
0.94.14rc21                                                  cve-2018-21027, cve-2018-21028
01                                                           cve-2019-10923
05                                                           cve-2019-10923
0777                                                         cve-2019-17383
0xffffffff                                                   cve-2019-14287
1                                                            cve-2011-4333, cve-2014-2736, cve-2014-8773, cve-2015-4646, cve-2015-8220, cve-2017-12626, cve-2017-7322, cve-2017-7323, cve-2019-13336, cve-2019-17115, cve-2019-17118, cve-2019-18356
1.0                                                          cve-2008-2009, cve-2015-9469, cve-2019-0368, cve-2019-0379, cve-2019-0381, cve-2019-18280, cve-2019-18344
1.0.0                                                        cve-2016-4977, cve-2019-0201
1.0.0.20190705_beta                                          cve-2019-17432
1.0.0.32                                                     cve-2016-11014, cve-2016-11015, cve-2016-11016
1.0.1                                                        cve-2019-18192
1.0.3                                                        cve-2015-9495
1.0.5                                                        cve-2016-4977
1.0.7                                                        cve-2019-17070
1.00.m5007_js_201804                                         cve-2019-17186
1.02.00                                                      cve-2019-14464, cve-2019-14496, cve-2019-14497
1.03b04                                                      cve-2019-17663
1.06                                                         cve-2019-17507
1.07                                                         cve-2019-9529, cve-2019-9530, cve-2019-9531, cve-2019-9532, cve-2019-9534
1.08b04                                                      cve-2017-14948
1.0b1                                                        cve-2019-17662
1.0ce                                                        cve-2019-16344
1.1                                                          cve-2011-4333, cve-2015-9498
1.1.0                                                        cve-2019-10476
1.1.1                                                        cve-2015-9470
1.1.33                                                       cve-2019-18197
1.1.4                                                        cve-2019-10443
1.1.5                                                        cve-2017-18638, cve-2019-10441, cve-2019-10442
1.1.8                                                        cve-2019-17396
1.10.0                                                       cve-2019-15226
1.11.1                                                       cve-2019-15226
1.11.4                                                       cve-2019-17535, cve-2019-17536
1.11.8                                                       cve-2019-16521, cve-2019-17207
1.11a                                                        cve-2019-14423, cve-2019-14424
1.13b03                                                      cve-2017-14948
1.15                                                         cve-2019-12402
1.15.13                                                      cve-2019-11281
1.15.x                                                       cve-2019-11281
1.16.6                                                       cve-2019-11281
1.16.x                                                       cve-2019-11281
1.17.3                                                       cve-2019-11281
