,tfidf
gcc,0.4447986007643411
operator,0.4258986033594922
new,0.3657005788287445
integer,0.33482250812622316
unspecified,0.3169571386468886
overflow,0.25370286466938285
have,0.2112210664995065
impacts,0.19185346914581766
attackers,0.19185346914581766
in,0.18250374150082954
before,0.16506028895529848
allows,0.13231102041595144
the,0.08418902959571414
to,0.08196479836420333
pcs,0.0
pdf,0.0
peopletools,0.0
pe204,0.0
peer,0.0
peered,0.0
pcf,0.0
pcapng,0.0
peoplesoft,0.0
performance,0.0
per,0.0
perform,0.0
performing,0.0
performs,0.0
period,0.0
permanently,0.0
permission,0.0
permissions,0.0
permissive,0.0
permit,0.0
permitted,0.0
perpage,0.0
persistent,0.0
pbs_mom,0.0
payloads,0.0
pbs,0.0
passes,0.0
parse_rockridge,0.0
parser,0.0
parseriflabel,0.0
parsing,0.0
part,0.0
partial,0.0
partially,0.0
partialviewcontextimpl,0.0
particular,0.0
parties,0.0
partition,0.0
party,0.0
pass,0.0
passed,0.0
passing,0.0
payments,0.0
password,0.0
passwords,0.0
past,0.0
patch,0.0
path,0.0
path_info,0.0
pathname,0.0
pathnames,0.0
paths,0.0
patrol,0.0
patrolagent,0.0
pattern,0.0
payload,0.0
personal,0.0
person,0.0
00,0.0
persuaded,0.0
plans,0.0
platform,0.0
platforms,0.0
player,0.0
please,0.0
plug,0.0
plugin,0.0
plugins,0.0
pmaixforwardedfrom,0.0
pmcisconames,0.0
pn,0.0
png,0.0
poi,0.0
point,0.0
pointer,0.0
pointers,0.0
points,0.0
poisoning,0.0
policy,0.0
political,0.0
polygon,0.0
polymorphic,0.0
pont,0.0
pool,0.0
pooldestroy,0.0
popen,0.0
popmake,0.0
popmake_,0.0
populate,0.0
popup,0.0
planting,0.0
plane,0.0
persuading,0.0
plaintext,0.0
parse,0.0
pfc100,0.0
pfc200,0.0
pfe,0.0
ph,0.0
phb,0.0
phishing,0.0
phone,0.0
phones,0.0
php,0.0
phpsessid,0.0
physical,0.0
physically,0.0
pic,0.0
picking,0.0
pid,0.0
pim,0.0
ping,0.0
pipe,0.0
pipeline,0.0
pivotal,0.0
pki,0.0
pl,0.0
place,0.0
placed,0.0
placeholder,0.0
places,0.0
placing,0.0
plain,0.0
parse_codes,0.0
param,0.0
parent,0.0
openvpn,0.0
oom,0.0
open,0.0
openbsd,0.0
opened,0.0
openemr,0.0
openflow,0.0
opening,0.0
openj9,0.0
openlock,0.0
openoffice,0.0
openshift,0.0
openssh,0.0
openstack,0.0
openwire,0.0
ontap,0.0
openwrt,0.0
operate,0.0
operating,0.0
operation,0.0
operations,0.0
opmanager,0.0
opmdevicedetailsservlet,0.0
oproxycommand,0.0
optimization,0.0
optimize,0.0
optimizer,0.0
option,0.0
options,0.0
onwards,0.0
only,0.0
oracle,0.0
often,0.0
occurring,0.0
occurs,0.0
ocsp,0.0
octavia,0.0
october,0.0
odbc,0.0
of,0.0
ofbiz,0.0
offers,0.0
office,0.0
officejet,0.0
offline,0.0
offset,0.0
ogg,0.0
online,0.0
ogr,0.0
ogr_expat,0.0
ogrexpatrealloc,0.0
oisf,0.0
ok,0.0
older,0.0
omits,0.0
omitting,0.0
on,0.0
once,0.0
one,0.0
onerror,0.0
ones,0.0
or,0.0
oraclenet,0.0
parameters,0.0
page,0.0
owrt,0.0
ox,0.0
p2,0.0
p3,0.0
p6,0.0
pa,0.0
pack,0.0
package,0.0
packages,0.0
packet,0.0
packets,0.0
pad,0.0
padding,0.0
page_no,0.0
own,0.0
pages,0.0
pagewide,0.0
paging,0.0
pagure,0.0
pair,0.0
pam,0.0
pan,0.0
panel,0.0
panels,0.0
parallax,0.0
portable,0.0
parameter,0.0
parameterized,0.0
owned,0.0
overwriting,0.0
orbitz,0.0
out,0.0
order,0.0
ordered,0.0
orders,0.0
org,0.0
origin,0.0
os,0.0
osdep,0.0
osm,0.0
osm_tiles,0.0
ospf,0.0
otcms,0.0
other,0.0
otherwise,0.0
outage,0.0
overwrite,0.0
outbound,0.0
outdoor,0.0
outgoing,0.0
outofmemoryerror,0.0
output,0.0
outputs,0.0
outside,0.0
over,0.0
overall,0.0
overloads,0.0
overly,0.0
overrides,0.0
overrun,0.0
port,0.0
portfolio,0.0
portal,0.0
r8300,0.0
rabbitmq,0.0
race,0.0
radio0,0.0
radio1,0.0
rambox,0.0
ran,0.0
random,0.0
range,0.0
rapid,0.0
rar,0.0
rather,0.0
rating,0.0
ratpack,0.0
raw,0.0
rbac,0.0
rce,0.0
rdbms,0.0
re,0.0
reach,0.0
reached,0.0
reactor,0.0
read,0.0
read_ce,0.0
read_chunk,0.0
read_fragment_table_4,0.0
readdirectory,0.0
reader,0.0
readimage,0.0
reading,0.0
